"AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted"
"2017-06-27" 36.252499 36.540001 35.904999 35.932499 99047600 34.066059
"2017-06-28" 36.122501 36.5275 35.790001 36.4575 88329600 34.563782
"2017-06-29" 36.177502 36.282501 35.57 35.919998 125997600 34.054211
"2017-06-30" 36.112499 36.240002 35.945 36.005001 92096400 34.134796
"2017-07-03" 36.220001 36.325001 35.775002 35.875 57111200 34.011555
"2017-07-05" 35.922501 36.197498 35.68 36.022499 86278400 34.151386
"2017-07-06" 35.755001 35.875 35.602501 35.682499 96515200 33.829044
"2017-07-07" 35.724998 36.1875 35.724998 36.044998 76806800 34.17271
"2017-07-10" 36.0275 36.487499 35.842499 36.264999 84362400 34.381294
"2017-07-11" 36.182499 36.462502 36.095001 36.3825 79127200 34.492683
"2017-07-12" 36.467499 36.544998 36.205002 36.435001 99538000 34.542461
"2017-07-13" 36.375 37.122501 36.360001 36.942501 100797600 35.023598
"2017-07-14" 36.9925 37.3325 36.8325 37.259998 80528400 35.324612
"2017-07-17" 37.205002 37.724998 37.142502 37.389999 95174000 35.447857
"2017-07-18" 37.299999 37.532501 37.1675 37.52 71475200 35.571106
"2017-07-19" 37.619999 37.855 37.487499 37.755001 83692000 35.793896
"2017-07-20" 37.875 37.935001 37.547501 37.584999 68974800 35.632721
"2017-07-21" 37.497501 37.610001 37.220001 37.567501 105010400 35.616138
"2017-07-24" 37.645 38.110001 37.474998 38.022499 85972800 36.047493
"2017-07-25" 37.950001 38.459999 37.950001 38.185001 75415600 36.201565
"2017-07-26" 38.337502 38.482498 38.264999 38.365002 63124000 36.372208
"2017-07-27" 38.4375 38.497501 36.825001 37.639999 129905200 35.684864
"2017-07-28" 37.4725 37.557499 37.297501 37.375 68854800 35.433628
"2017-07-31" 37.474998 37.5825 37.032501 37.182499 79383600 35.251129
"2017-08-01" 37.275002 37.555 37.102501 37.512501 141474400 35.563984
"2017-08-02" 39.82 39.9375 39.040001 39.285 279747200 37.244415
"2017-08-03" 39.262501 39.302502 38.755001 38.892502 108389200 36.872307
"2017-08-04" 39.017502 39.349998 38.922501 39.0975 82239600 37.066662
"2017-08-07" 39.264999 39.73 39.1675 39.702499 87481200 37.640236
"2017-08-08" 39.650002 40.4575 39.567501 40.02 144823600 37.941238
"2017-08-09" 39.814999 40.317501 39.7775 40.264999 104526000 38.173515
"2017-08-10" 39.974998 40 38.657501 38.830002 163217200 36.957619
"2017-08-11" 39.150002 39.642502 39.017502 39.369999 105028400 37.471577
"2017-08-14" 39.830002 40.052502 39.6875 39.962502 88490800 38.035511
"2017-08-15" 40.165001 40.549999 40.035 40.400002 117862000 38.451912
"2017-08-16" 40.485001 40.627499 40.037498 40.237499 110686400 38.297241
"2017-08-17" 40.130001 40.177502 39.459999 39.465 111762400 37.561996
"2017-08-18" 39.465 39.875 39.18 39.375 109712400 37.476334
"2017-08-21" 39.375 39.4725 38.7775 39.302502 105474000 37.407333
"2017-08-22" 39.557499 40 39.505001 39.945 86418400 38.018856
"2017-08-23" 39.767502 40.1175 39.720001 39.994999 77596400 38.066441
"2017-08-24" 40.107498 40.185001 39.637501 39.817501 79275600 37.897499
"2017-08-25" 39.912498 40.139999 39.817501 39.965 101920400 38.037895
"2017-08-28" 40.035 40.5 39.982498 40.3675 103864000 38.420975
"2017-08-29" 40.025002 40.779999 40 40.727501 118067600 38.763622
"2017-08-30" 40.950001 40.9725 40.6525 40.837502 109078400 38.868313
"2017-08-31" 40.91 41.130001 40.869999 41 107140400 39.022987
"2017-09-01" 41.200001 41.235001 40.907501 41.012501 66364400 39.034882
"2017-09-05" 40.9375 41.0625 40.139999 40.52 117874000 38.566132
"2017-09-06" 40.677502 40.747501 40.130001 40.477501 86606800 38.525677
"2017-09-07" 40.522499 40.560001 40.09 40.314999 87714000 38.371006
"2017-09-08" 40.215 40.287498 39.6325 39.657501 114446000 37.745209
"2017-09-11" 40.125 40.512501 39.9725 40.375 126323200 38.42812
"2017-09-12" 40.6525 40.990002 39.692501 40.215 286856000 38.275837
"2017-09-13" 39.967499 39.990002 39.477501 39.912498 179629600 37.987923
"2017-09-14" 39.747501 39.849998 39.522499 39.57 95042800 37.661942
"2017-09-15" 39.6175 40.2425 39.5 39.970001 196458400 38.042648
"2017-09-18" 40.0275 40.125 39.5 39.6675 113077600 37.754738
"2017-09-19" 39.877499 39.942501 39.610001 39.682499 83242400 37.769012
"2017-09-20" 39.474998 39.564999 38.4575 39.017502 211805600 37.136086
"2017-09-21" 38.950001 38.950001 38.1875 38.3475 150046800 36.49839
"2017-09-22" 37.884998 38.067501 37.639999 37.9725 186581600 36.14146
"2017-09-25" 37.497501 37.9575 37.290001 37.637501 177549200 35.82262
"2017-09-26" 37.945 38.48 37.922501 38.285 146640000 36.438896
"2017-09-27" 38.450001 38.68 38.384998 38.557499 102016800 36.698257
"2017-09-28" 38.4725 38.57 38.174999 38.32 88022000 36.472214
"2017-09-29" 38.302502 38.532501 38 38.529999 105199200 36.672081
"2017-10-02" 38.564999 38.612499 38.18 38.452499 74795200 36.598316
"2017-10-03" 38.502499 38.772499 38.477501 38.619999 64921200 36.75774
"2017-10-04" 38.407501 38.465 38.115002 38.369999 80655200 36.519791
"2017-10-05" 38.544998 38.860001 38.512501 38.8475 85135200 36.974277
"2017-10-06" 38.7425 38.872501 38.639999 38.825001 69630400 36.95285
"2017-10-09" 38.952499 39.182499 38.872501 38.959999 65051600 37.081348
"2017-10-10" 39.014999 39.5 38.775002 38.974998 62468000 37.095623
"2017-10-11" 38.9925 39.244999 38.9375 39.137501 67622400 37.25029
"2017-10-12" 39.087502 39.342499 38.932499 39 64500400 37.119423
"2017-10-13" 39.182499 39.32 39.102501 39.247501 65576800 37.354988
"2017-10-16" 39.474998 40 39.412498 39.970001 96486000 38.042648
"2017-10-17" 39.945 40.217499 39.807499 40.1175 75989200 38.183029
"2017-10-18" 40.105 40.177502 39.900002 39.939999 65496800 38.014091
"2017-10-19" 39.1875 39.27 38.755001 38.994999 170336800 37.114658
"2017-10-20" 39.1525 39.4375 38.990002 39.0625 95896400 37.178902
"2017-10-23" 39.2225 39.422501 38.875 39.0425 87937200 37.15987
"2017-10-24" 39.072498 39.355 39.049999 39.275002 71028800 37.381165
"2017-10-25" 39.227501 39.387501 38.817501 39.102501 84828400 37.21698
"2017-10-26" 39.307499 39.4575 39.195 39.352501 68002000 37.454922
"2017-10-27" 39.822498 40.900002 39.674999 40.762501 177816800 38.796928
"2017-10-30" 40.9725 42.017502 40.93 41.68 178803200 39.670189
"2017-10-31" 41.974998 42.412498 41.735001 42.259998 144187200 40.222221
"2017-11-01" 42.467499 42.485001 41.4025 41.7225 134551200 39.710644
"2017-11-02" 41.650002 42.125 41.32 42.0275 165573600 40.000938
"2017-11-03" 43.5 43.564999 42.779999 43.125 237594400 41.045513
"2017-11-06" 43.092499 43.747501 42.93 43.5625 140105200 41.461914
"2017-11-07" 43.477501 43.8125 43.400002 43.702499 97446000 41.595169
"2017-11-08" 43.665001 44.060001 43.5825 44.060001 97638000 41.935425
"2017-11-09" 43.7775 44.025002 43.285 43.970001 117930400 41.84977
"2017-11-10" 43.7775 43.845001 43.567501 43.6675 100582000 41.711258
"2017-11-13" 43.375 43.625 43.349998 43.4925 67928400 41.544098
"2017-11-14" 43.259998 43.369999 42.794998 42.834999 99130000 40.916054
"2017-11-15" 42.4925 42.580002 42.095001 42.27 116632400 40.376369
"2017-11-16" 42.794998 42.967499 42.575001 42.775002 94550000 40.858746
"2017-11-17" 42.759998 42.8475 42.41 42.537498 87598000 40.631878
"2017-11-20" 42.572498 42.639999 42.389999 42.494999 65049600 40.591293
"2017-11-21" 42.695 43.424999 42.695 43.285 100525200 41.345898
"2017-11-22" 43.34 43.75 43.262501 43.740002 102355600 41.780514
"2017-11-24" 43.775002 43.875 43.662498 43.7425 56106800 41.782902
"2017-11-27" 43.762501 43.77 43.334999 43.522499 82867200 41.572762
"2017-11-28" 43.575001 43.717499 42.965 43.267502 105715200 41.329185
"2017-11-29" 43.157501 43.23 41.790001 42.369999 166665600 40.471889
"2017-11-30" 42.607498 43.035 42.110001 42.962502 166108800 41.037853
"2017-12-01" 42.487499 42.9175 42.125 42.762501 159037200 40.846809
"2017-12-04" 43.119999 43.154999 42.407501 42.450001 130169600 40.548306
"2017-12-05" 42.264999 42.880001 42.099998 42.41 109400800 40.510098
"2017-12-06" 41.875 42.549999 41.615002 42.252499 114240000 40.359646
"2017-12-07" 42.2575 42.610001 42.227501 42.330002 102693200 40.433685
"2017-12-08" 42.622501 42.75 42.205002 42.342499 93420800 40.445621
"2017-12-11" 42.299999 43.2225 42.197498 43.1675 141095200 41.233665
"2017-12-12" 43.037498 43.0975 42.865002 42.924999 77636800 41.002018
"2017-12-13" 43.125 43.384998 43 43.067501 95273600 41.138142
"2017-12-14" 43.099998 43.282501 42.912498 43.055 81906000 41.126205
"2017-12-15" 43.407501 43.5425 43.115002 43.4925 160677200 41.544098
"2017-12-18" 43.720001 44.299999 43.715 44.105 117684400 42.129169
"2017-12-19" 43.7575 43.8475 43.522499 43.634998 109745600 41.680214
"2017-12-20" 43.717499 43.855 43.3125 43.587502 93902400 41.634846
"2017-12-21" 43.5425 44.005001 43.525002 43.752499 83799600 41.79245
"2017-12-22" 43.669998 43.855 43.625 43.752499 65397600 41.79245
"2017-12-26" 42.700001 42.8675 42.419998 42.642502 132742000 40.732182
"2017-12-27" 42.525002 42.695 42.427502 42.650002 85992800 40.739346
"2017-12-28" 42.75 42.962502 42.619999 42.77 65920800 40.853977
"2017-12-29" 42.630001 42.647499 42.305 42.307499 103999600 40.412189
"2018-01-02" 42.540001 43.075001 42.314999 43.064999 102223600 41.135754
"2018-01-03" 43.1325 43.637501 42.990002 43.057499 118071600 41.12859
"2018-01-04" 43.134998 43.3675 43.02 43.2575 89738400 41.319622
"2018-01-05" 43.360001 43.842499 43.262501 43.75 94640000 41.79007
"2018-01-08" 43.587502 43.9025 43.482498 43.587502 82271200 41.634846
"2018-01-09" 43.637501 43.764999 43.352501 43.5825 86336000 41.63007
"2018-01-10" 43.290001 43.575001 43.25 43.572498 95839600 41.620518
"2018-01-11" 43.647499 43.872501 43.622501 43.82 74670800 41.856937
"2018-01-12" 44.044998 44.34 43.912498 44.272499 101672400 42.289154
"2018-01-16" 44.474998 44.8475 44.035 44.047501 118263600 42.074238
"2018-01-17" 44.037498 44.8125 43.767502 44.775002 137547200 42.76915
"2018-01-18" 44.842499 45.025002 44.5625 44.814999 124773600 42.807354
"2018-01-19" 44.6525 44.895 44.352501 44.615002 129700400 42.616322
"2018-01-22" 44.325001 44.445 44.150002 44.25 108434400 42.267666
"2018-01-23" 44.325001 44.860001 44.205002 44.259998 130756400 42.277218
"2018-01-24" 44.3125 44.325001 43.299999 43.555 204420400 41.603806
"2018-01-25" 43.627499 43.737499 42.6325 42.7775 166116000 40.86113
"2018-01-26" 43 43 42.514999 42.877499 156572000 40.956657
"2018-01-29" 42.540001 42.540001 41.767502 41.990002 202561600 40.108913
"2018-01-30" 41.3825 41.842499 41.174999 41.7425 184192800 39.872494
"2018-01-31" 41.717499 42.110001 41.625 41.857498 129915600 39.982353
"2018-02-01" 41.7925 42.154999 41.689999 41.945 188923200 40.065933
"2018-02-02" 41.5 41.700001 40.025002 40.125 346375200 38.327469
"2018-02-05" 39.775002 40.970001 39 39.122501 290954000 37.369881
"2018-02-06" 38.7075 40.93 38.5 40.7575 272975200 38.931629
"2018-02-07" 40.772499 40.849998 39.767502 39.884998 206434400 38.098217
"2018-02-08" 40.072498 40.25 38.7575 38.787498 217562000 37.049881
"2018-02-09" 39.267502 39.4725 37.560001 39.102501 282690400 37.503056
"2018-02-12" 39.625 40.9725 39.377499 40.677502 243278000 39.013634
"2018-02-13" 40.487499 41.1875 40.412498 41.084999 130196800 39.404461
"2018-02-14" 40.759998 41.884998 40.720001 41.842499 162579600 40.130978
"2018-02-15" 42.447498 43.272499 42.25 43.247501 204588800 41.478508
"2018-02-16" 43.09 43.705002 42.942501 43.107498 160704400 41.344227
"2018-02-20" 43.012501 43.564999 42.855 42.962502 135722000 41.205173
"2018-02-21" 43.2075 43.529999 42.752499 42.767502 149886400 41.018143
"2018-02-22" 42.950001 43.487499 42.927502 43.125 123967600 41.361015
"2018-02-23" 43.4175 43.912498 43.384998 43.875 135249600 42.080334
"2018-02-26" 44.087502 44.8475 44.052502 44.7425 152648800 42.91235
"2018-02-27" 44.775002 45.119999 44.540001 44.5975 155712400 42.773293
"2018-02-28" 44.814999 45.154999 44.512501 44.529999 151128400 42.708542
"2018-03-01" 44.634998 44.945 43.165001 43.75 195208000 41.960453
"2018-03-02" 43.200001 44.075001 43.112499 44.052502 153816000 42.250576
"2018-03-05" 43.802502 44.435001 43.630001 44.205002 113605600 42.396839
"2018-03-06" 44.477501 44.5625 44.032501 44.1675 95154000 42.36087
"2018-03-07" 43.735001 43.962502 43.567501 43.7575 126814000 41.967644
"2018-03-08" 43.869999 44.279999 43.767502 44.235001 95096400 42.42561
"2018-03-09" 44.490002 45 44.3475 44.994999 128740800 43.154518
"2018-03-12" 45.072498 45.5975 45.052502 45.43 128828400 43.571732
"2018-03-13" 45.647499 45.875 44.810001 44.9925 126774000 43.152126
"2018-03-14" 45.080002 45.130001 44.452499 44.610001 117473600 42.785275
"2018-03-15" 44.625 45.060001 44.517502 44.662498 90975200 42.835625
"2018-03-16" 44.662498 44.779999 44.404999 44.505001 157618800 42.684574
"2018-03-19" 44.330002 44.3675 43.415001 43.825001 133787200 42.032375
"2018-03-20" 43.810001 44.200001 43.735001 43.810001 78597600 42.017998
"2018-03-21" 43.759998 43.772499 42.814999 42.817501 148219600 41.066101
"2018-03-22" 42.5 43.169998 42.150002 42.212502 165963200 40.485851
"2018-03-23" 42.0975 42.48 41.235001 41.235001 164115200 39.548325
"2018-03-26" 42.017502 43.275002 41.610001 43.192501 150164800 41.425755
"2018-03-27" 43.419998 43.787498 41.73 42.084999 163690400 40.363564
"2018-03-28" 41.8125 42.505001 41.297501 41.619999 166674000 39.917576
"2018-03-29" 41.952499 42.9375 41.724998 41.945 153594000 40.229282
"2018-04-02" 41.66 42.235001 41.1175 41.669998 150347200 39.965534
"2018-04-03" 41.91 42.1875 41.220001 42.0975 121112000 40.375546
"2018-04-04" 41.220001 43.002499 41.192501 42.9025 138422000 41.147617
"2018-04-05" 43.145 43.557499 43.02 43.200001 107732800 41.432945
"2018-04-06" 42.7425 43.119999 42.049999 42.095001 140021200 40.373142
"2018-04-09" 42.470001 43.272499 42.462502 42.512501 116070800 40.773579
"2018-04-10" 43.25 43.5 42.8825 43.3125 113634400 41.540848
"2018-04-11" 43.057499 43.48 42.924999 43.110001 89726400 41.34663
"2018-04-12" 43.352501 43.75 43.259998 43.535 91557200 41.754242
"2018-04-13" 43.695 43.959999 43.462502 43.682499 100497200 41.895706
"2018-04-16" 43.7575 44.047501 43.7075 43.955002 86313600 42.157066
"2018-04-17" 44.122501 44.735001 44.102501 44.560001 106421600 42.73732
"2018-04-18" 44.452499 44.705002 44.220001 44.459999 83018000 42.641407
"2018-04-19" 43.439999 43.8475 43.165001 43.200001 139235200 41.432945
"2018-04-20" 42.650002 42.805 41.357498 41.43 261964400 39.735355
"2018-04-23" 41.7075 41.73 41.022499 41.310001 146062000 39.620255
"2018-04-24" 41.4175 41.5825 40.305 40.735001 134768000 39.068779
"2018-04-25" 40.654999 41.355 40.602501 40.912498 113528400 39.239017
"2018-04-26" 41.029999 41.432499 40.842499 41.055 111852000 39.37569
"2018-04-27" 41 41.0825 40.157501 40.580002 142623200 38.920124
"2018-04-30" 40.532501 41.814999 40.459999 41.314999 169709600 39.62505
"2018-05-01" 41.602501 42.299999 41.317501 42.275002 214277600 40.54578
"2018-05-02" 43.807499 44.4375 43.450001 44.142502 266157600 42.336895
"2018-05-03" 43.970001 44.375 43.610001 44.2225 136272800 42.41362
"2018-05-04" 44.5625 46.0625 44.5425 45.9575 224805200 44.077656
"2018-05-07" 46.294998 46.9175 46.1875 46.290001 169805600 44.396557
"2018-05-08" 46.247501 46.555 45.9175 46.512501 113611200 44.609951
"2018-05-09" 46.637501 46.849998 46.305 46.84 92844800 44.924053
"2018-05-10" 46.935001 47.592499 46.912498 47.509998 111957200 45.566647
"2018-05-11" 47.372501 47.514999 46.862499 47.147499 104848800 45.393349
"2018-05-14" 47.252499 47.3825 46.965 47.037498 83115200 45.287441
"2018-05-15" 46.695 46.767502 46.275002 46.610001 94780800 44.875847
"2018-05-16" 46.517502 47.115002 46.5 47.044998 76732400 45.294659
"2018-05-17" 47 47.227501 46.59 46.747501 69176000 45.008224
"2018-05-18" 46.797501 46.952499 46.532501 46.577499 73190800 44.844551
"2018-05-21" 47 47.317501 46.727501 46.907501 73603200 45.162281
"2018-05-22" 47.095001 47.220001 46.695 46.790001 60962800 45.049145
"2018-05-23" 46.587502 47.125 46.439999 47.09 80233600 45.33799
"2018-05-24" 47.192501 47.209999 46.552502 47.037498 92936000 45.287441
"2018-05-25" 47.057499 47.412498 46.912498 47.145 69844000 45.390942
"2018-05-29" 46.900002 47.1875 46.717499 46.974998 90056400 45.227264
"2018-05-30" 46.93 47 46.695 46.875 74762000 45.130985
"2018-05-31" 46.805 47.057499 46.535 46.717499 109931200 44.97934
"2018-06-01" 46.997501 47.564999 46.9375 47.560001 93770000 45.790501
"2018-06-04" 47.91 48.355 47.837502 47.9575 105064800 46.17321
"2018-06-05" 48.267502 48.485001 48.09 48.327499 86264000 46.529446
"2018-06-06" 48.407501 48.52 47.98 48.494999 83734400 46.690716
"2018-06-07" 48.535 48.549999 48.084999 48.365002 85388800 46.565556
"2018-06-08" 47.7925 48 47.442501 47.924999 106627200 46.141926
"2018-06-11" 47.837502 47.9925 47.552502 47.807499 73234000 46.02879
"2018-06-12" 47.8475 48.1525 47.787498 48.07 67644400 46.281525
"2018-06-13" 48.105 48.220001 47.610001 47.674999 86553600 45.901215
"2018-06-14" 47.887501 47.892502 47.555 47.700001 86440400 45.925297
"2018-06-15" 47.5075 47.540001 47.064999 47.209999 246876800 45.453514
"2018-06-18" 46.970001 47.305 46.799999 47.185001 73939600 45.429455
"2018-06-19" 46.285 46.5825 45.862499 46.422501 134314000 44.695324
"2018-06-20" 46.587502 46.799999 46.432499 46.625 82514800 44.890285
"2018-06-21" 46.8125 47.087502 46.235001 46.365002 102847600 44.639961
"2018-06-22" 46.529999 46.537498 46.174999 46.23 108801600 44.509975
"2018-06-25" 45.849998 46.23 45.182499 45.5425 126652400 43.848064
"2018-06-26" 45.747501 46.6325 45.634998 46.107498 98276800 44.392044
